Season,First team,First team,Second team,Second team
Season,Players,Teams,Players,Teams
1968–69,Dave DeBusschere*,New York Knicks,Rudy LaRusso,San Francisco Warriors
1968–69,Nate Thurmond*,San Francisco Warriors,Tom Sanders,Boston Celtics
1968–69,Bill Russell*,Boston Celtics,John Havlicek*,Boston Celtics
1968–69,Walt Frazier*,New York Knicks,Jerry West*,Los Angeles Lakers
1968–69,Jerry Sloan,Chicago Bulls,Bill Bridges,Atlanta Hawks
1969–70,Dave DeBusschere* (2),New York Knicks,John Havlicek* (2),Boston Celtics
1969–70,Gus Johnson*,Baltimore Bullets,Bill Bridges (2),Atlanta Hawks
1969–70,Willis Reed*,New York Knicks,Lew Alcindor*,Milwaukee Bucks
1969–70,Walt Frazier* (2),New York Knicks,Joe Caldwell,Atlanta Hawks
1969–70,Jerry West* (2),Los Angeles Lakers,Jerry Sloan (2),Chicago Bulls
1970–71,Dave DeBusschere* (3),New York Knicks,John Havlicek* (3),Boston Celtics
1970–71,Gus Johnson* (2),Baltimore Bullets,Paul Silas,Phoenix Suns
1970–71,Nate Thurmond* (2),San Francisco Warriors,Lew Alcindor* (2),Milwaukee Bucks
1970–71,Walt Frazier* (3),New York Knicks,Jerry Sloan (3),Chicago Bulls
1970–71,Jerry West* (3),Los Angeles Lakers,Norm Van Lier,Cincinnati Royals
1971–72,Dave DeBusschere* (4),New York Knicks,Paul Silas (2),Phoenix Suns
1971–72,John Havlicek* (4),Boston Celtics,Bob Love,Chicago Bulls
1971–72,Wilt Chamberlain*,Los Angeles Lakers,Nate Thurmond* (3),Golden State Warriors
1971–72,Jerry West* (4),Los Angeles Lakers,Norm Van Lier (2),Chicago Bulls
1971–72,Walt Frazier* (4) (tie),New York Knicks,Don Chaney,Boston Celtics
1971–72,Jerry Sloan (4) (tie),Chicago Bulls,Don Chaney,Boston Celtics
1972–73,Dave DeBusschere* (5),New York Knicks,Paul Silas (3),Phoenix Suns
1972–73,John Havlicek* (5),Boston Celtics,Mike Riordan,Baltimore Bullets
1972–73,Wilt Chamberlain* (2),Los Angeles Lakers,Nate Thurmond* (4),Golden State Warriors
1972–73,Jerry West* (5),Los Angeles Lakers,Norm Van Lier (3),Chicago Bulls
1972–73,Walt Frazier* (5),New York Knicks,Don Chaney (2),Boston Celtics
1973–74,Dave DeBusschere* (6),New York Knicks,Elvin Hayes*,Capital Bullets
1973–74,John Havlicek* (6),Boston Celtics,Bob Love (2),Chicago Bulls
1973–74,Kareem Abdul-Jabbar* (3),Milwaukee Bucks,Nate Thurmond* (5),Golden State Warriors
