,Player,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,LeBron James,18,13,3,2
1,Kobe Bryant,15,11,2,2
2,Kareem Abdul-Jabbar,15,10,5,-
3,Tim Duncan,15,10,3,2
4,Karl Malone,14,11,2,1
5,Shaquille O'Neal,14,8,2,4
6,Bob Cousy,12,10,2,-
7,Jerry West,12,10,2,-
8,Dolph Schayes,12,6,6,-
9,Hakeem Olajuwon,12,6,3,3
10,Dirk Nowitzki,12,4,5,3
11,Michael Jordan,11,10,1,-
12,Bob Pettit,11,10,1,-
13,Oscar Robertson,11,9,2,-
14,Charles Barkley,11,5,5,1
15,John Havlicek,11,4,7,-
16,Chris Paul,11,4,5,2
17,Bill Russell,11,3,8,-
18,John Stockton,11,2,6,3
19,Elgin Baylor,10,10,-,-
20,Larry Bird,10,9,1,-
21,Magic Johnson,10,9,1,-
22,Wilt Chamberlain,10,7,3,-
23,Kevin Durant,10,6,4,-
24,David Robinson,10,4,2,4
25,Kevin Garnett,9,4,3,2
26,Gary Payton,9,2,5,2
27,Russell Westbrook,9,2,5,2
28,Dwight Howard,8,5,1,2
29,Moses Malone,8,4,4,-
30,Stephen Curry,8,4,3,1
31,Dwyane Wade,8,2,3,3
32,James Harden,7,6,-,1
33,Julius Erving,7,5,2,-
34,George Gervin,7,5,2,-
35,Bill Sharman,7,4,3,-
36,Allen Iverson,7,3,3,1
37,Steve Nash,7,3,2,2
38,Scottie Pippen,7,3,2,2
39,Tracy McGrady,7,2,3,2
40,Patrick Ewing,7,1,6,-
41,Dominique Wilkins,7,1,4,2
42,Hal Greer,7,-,7,-
43,George Mikan,6,6,-,-
44,Rick Barry,6,5,1,-
45,Jason Kidd,6,5,1,-
46,Giannis Antetokounmpo,6,4,2,-
47,Walt Frazier,6,4,2,-
48,Elvin Hayes,6,3,3,-
49,Damian Lillard,6,1,4,1
50,Paul George,6,1,-,5
51,Carmelo Anthony,6,-,2,4
52,Bob Davies,5,4,1,-
53,Neil Johnston,5,4,1,-
54,Tiny Archibald,5,3,2,-
55,Kawhi Leonard,5,3,2,-
56,Jerry Lucas,5,3,2,-
57,Isiah Thomas,5,3,2,-
58,Grant Hill,5,1,4,-
59,Sidney Moncrief,5,1,4,-
60,Willis Reed,5,1,4,-
61,Amar'e Stoudemire,5,1,4,-
62,Tim Hardaway,5,1,3,1
63,Chris Webber,5,1,3,1
64,Clyde Drexler,5,1,2,2
65,Slater Martin,5,-,5,-
66,Kevin Johnson,5,-,4,1
67,Blake Griffin,5,-,3,2
68,Mitch Richmond,5,-,3,2
69,Ben Wallace,5,-,3,2
70,LaMarcus Aldridge,5,-,2,3
71,Yao Ming,5,-,2,3
72,Anthony Davis,4,4,-,-
73,Max Zaslofsky,4,4,-,-
74,Paul Arizin,4,3,1,-
75,Billy Cunningham,4,3,1,-
