,Player,#,Selections,Notes,Reference
0,Kareem Abdul-Jabbar,19,1970–1977; 1979–1989,Missed 1973 game. Replacement selection in 1989 game,
1,LeBron James,19,2005–2023,"Team captain in 2018, 2019, 2020, 2021, 2022, and 2023 games. MVP of 2006, 2008, and 2018 games.",
2,Kobe Bryant,18,1998; 2000–2016,"Missed 2010, 2014, and 2015 games. MVP of 2002, 2007, 2009 (co-MVP with Shaquille O'Neal), and 2011 games.",
3,Tim Duncan,15,1998; 2000–2011; 2013; 2015,,
4,Kevin Garnett,15,1997–1998; 2000–2011; 2013,Missed 2008 game. MVP of the 2003 game. Replacement selection in 1997 game,
5,Shaquille O'Neal,15,1993–1998; 2000–2007; 2009,"Missed 1997, 2001, and 2002 games. MVP of 2000, 2004, and 2009 (co-MVP with Kobe Bryant) games.",
6,Michael Jordan,14,1985–1993; 1996–1998; 2002–2003,"Missed 1986 game. MVP of 1988, 1996, and 1998 games.",
7,Karl Malone,14,1988–1998; 2000–2002,Missed 1990 and 2002 games,
8,Dirk Nowitzki,14,2002–2012; 2014–2015; 2019,Replacement selection in 2015 game. Special roster selection in 2019 game,
9,Jerry West,14,1961–1974,Missed 1969 and 1974 games,
10,Wilt Chamberlain,13,1960–1969; 1971–1973,,
11,Bob Cousy,13,1951–1963,MVP of 1954 and 1957 games,
12,Kevin Durant,13,2010–2019; 2021–2023,"Missed 2021,2022 and 2023 games. Team captain in 2021 and 2022 games. MVP of the 2012 and 2019 games.",
13,John Havlicek,13,1966–1978,,
14,Dwyane Wade,13,2005–2016; 2019,Missed 2015 game. MVP of the 2010 game. Special roster selection in 2019 game,
15,Larry Bird,12,1980–1988; 1990–1992,Missed 1991 and 1992 games,
16,Elvin Hayes,12,1969–1980,,
17,Magic Johnson,12,1980; 1982–1992,Missed 1989 game,
18,Moses Malone,12,1978–1989,Missed 1984 game; also a one-time ABA All-Star,
19,Hakeem Olajuwon,12,1985–1990; 1992–1997,,
20,Chris Paul,12,2008–2016; 2020–2022,Missed 2010 game. MVP of the 2013 game.,
21,Oscar Robertson,12,1961–1972,"MVP of 1961, 1964, and 1969 games",
22,Bill Russell,12,1958–1969,,
23,Dolph Schayes,12,1951–1962,Missed 1952 game,
24,Isiah Thomas,12,1982–1993,Missed 1991 game,
25,Charles Barkley,11,1987–1997,Missed 1994 and 1997 games,
26,Elgin Baylor,11,1959–1965; 1967–1970,,
27,Chris Bosh,11,2006–2016,Missed 2009 and 2016  games,
28,Julius Erving,11,1977–1987,Also a five-time ABA All-Star,
29,Patrick Ewing,11,1986; 1988–1997,Missed 1986 and 1997 games,
30,Allen Iverson,11,2000–2010,Missed 2007 and 2010 games. MVP of the 2001 and 2005 games.,
31,Bob Pettit,11,1955–1965,,
32,Ray Allen,10,2000–2002; 2004–2009; 2011,Replacement selection in 2008 and 2009 games,
33,Carmelo Anthony,10,2007–2008; 2010–2017,Replacement selection in 2017 game,
34,Paul Arizin,10,1951–1952; 1955–1962,Missed 1960 game,
35,Clyde Drexler,10,1986; 1988–1994; 1996–1997,Missed 1997 game,
36,Hal Greer,10,1961–1970,,
37,James Harden,10,2013–2022,Missed 2022 game.,
38,Jason Kidd,10,1996; 1998; 2000–2004; 2007–2008; 2010,Missed 2007 game. Replacement selection in 2010 game,
39,Paul Pierce,10,2002–2006; 2008–2012,,
40,David Robinson,10,1990–1996; 1998; 2000–2001,,
41,John Stockton,10,1989–1997; 2000,,
42,Stephen Curry,9,2014–2019; 2021–2023,Team captain in 2018 game and MVP of the 2022 game. Missed 2023 game,
43,George Gervin,9,1977–1985,Also a three-time ABA All-Star,
44,Robert Parish,9,1981–1987; 1990–1991,,
45,Gary Payton,9,1994–1998; 2000–2003,Replacement selection in 1994 game,
46,Russell Westbrook,9,2011–2013; 2015–2020,MVP of the 2015 and 2016 games.,
47,Lenny Wilkens,9,1963–1965; 1967–1971; 1973,,
48,Dominique Wilkins,9,1986–1994,Missed 1992 game,
49,Rick Barry,8,1966–1967; 1973–1978,Missed 1973 game; also a four-time ABA All-Star,
50,Vince Carter,8,2000–2007,Missed 2002 game,
51,Dave Cowens,8,1972–1978; 1980,Missed 1977 and 1980 games,
52,Anthony Davis,8,2014–2021,Missed 2015 and 2021 games. Replacement selection in 2014. MVP of the 2017 game.,
53,Dave DeBusschere,8,1966–1968; 1970–1974,,
54,Alex English,8,1982–1989,,
55,Larry Foust,8,1951–1956; 1958–1959,Missed 1952 game,
56,Paul George,8,2013–2014; 2016–2019; 2021; 2023,Replacement selection in 2018 game,
57,Dwight Howard,8,2007–2014,,
58,Kyrie Irving,8,2013–2015; 2017–2019; 2021; 2023,MVP of the 2014 game.,
59,Bob Lanier,8,1972–1975; 1977–1979; 1982,,
60,Dikembe Mutombo,8,1992; 1995–1998; 2000–2002,Replacement selection in 1995 and 2001 games,
61,Steve Nash,8,2002–2003; 2005–2008; 2010; 2012,Missed 2007 game,
62,Bill Sharman,8,1953–1960,,
63,Yao Ming,8,2003–2009; 2011,Missed 2007 and 2011 games,
64,LaMarcus Aldridge,7,2012–2016; 2018–2019,,
65,Giannis Antetokounmpo,7,2017–2023,"Team captain in 2019, 2020, and 2023 games. MVP of the 2021 game.",
66,Dave Bing,7,1968–1969; 1971; 1973–1976,,
67,Walt Frazier,7,1970–1976,,
68,Harry Gallatin,7,1951–1957,,
69,Grant Hill,7,1995–1998; 2000–2001; 2005,Missed 2001 game,
70,Joe Johnson,7,2007–2012; 2014,Missed 2012 game. Replacement in 2007 game,
