,Season,Player,Position,Nationality,Team
0,1982–83,Sidney Moncrief,Shooting guard,United States,Milwaukee Bucks
1,1983–84,Sidney Moncrief,Shooting guard,United States,Milwaukee Bucks (2)
2,1984–85,Mark Eaton,Center,United States,Utah Jazz
3,1985–86,Alvin Robertson,Shooting guard,United States,San Antonio Spurs
4,1986–87,Michael Cooper,Shooting guard,United States,Los Angeles Lakers
5,1987–88,Michael Jordan,Shooting guard,United States,Chicago Bulls
6,1988–89,Mark Eaton,Center,United States,Utah Jazz (2)
7,1989–90,Dennis Rodman,Small forward,United States,Detroit Pistons
8,1990–91,Dennis Rodman,Small forward,United States,Detroit Pistons (2)
9,1991–92,David Robinson,Center,United States,San Antonio Spurs (2)
10,1992–93,Hakeem Olajuwon,Center,Nigeria,Houston Rockets
11,1993–94,Hakeem Olajuwon,Center,Nigeria,Houston Rockets (2)
12,1994–95,Dikembe Mutombo,Center,Zaire,Denver Nuggets
13,1995–96,Gary Payton,Point guard,United States,Seattle SuperSonics
14,1996–97,Dikembe Mutombo,Center,Zaire,Atlanta Hawks
15,1997–98,Dikembe Mutombo,Center,Democratic Republic of the Congo,Atlanta Hawks (2)
16,1998–99,Alonzo Mourning,Center,United States,Miami Heat
17,1999–00,Alonzo Mourning,Center,United States,Miami Heat (2)
18,2000–01,Dikembe Mutombo,Center,Democratic Republic of the Congo,Philadelphia 76ers
19,2001–02,Ben Wallace,Center,United States,Detroit Pistons (3)
20,2002–03,Ben Wallace,Center,United States,Detroit Pistons (4)
21,2003–04,Metta World Peace,Small forward,United States,Indiana Pacers
22,2004–05,Ben Wallace,Center,United States,Detroit Pistons (5)
23,2005–06,Ben Wallace,Center,United States,Detroit Pistons (6)
24,2006–07,Marcus Camby,Center,United States,Denver Nuggets (2)
25,2007–08,Kevin Garnett,Power forward,United States,Boston Celtics
26,2008–09,Dwight Howard,Center,United States,Orlando Magic
27,2009–10,Dwight Howard,Center,United States,Orlando Magic (2)
28,2010–11,Dwight Howard,Center,United States,Orlando Magic (3)
29,2011–12,Tyson Chandler,Center,United States,New York Knicks
30,2012–13,Marc Gasol,Center,Spain,Memphis Grizzlies
31,2013–14,Joakim Noah,Center,France,Chicago Bulls (2)
32,2014–15,Kawhi Leonard,Small forward,United States,San Antonio Spurs (3)
33,2015–16,Kawhi Leonard,Small forward,United States,San Antonio Spurs (4)
34,2016–17,Draymond Green,Power forward,United States,Golden State Warriors
35,2017–18,Rudy Gobert,Center,France,Utah Jazz (3)
36,2018–19,Rudy Gobert,Center,France,Utah Jazz (4)
37,2019–20,Giannis Antetokounmpo,Power forward,Greece,Milwaukee Bucks (3)
38,2020–21,Rudy Gobert,Center,France,Utah Jazz (5)
39,2021–22,Marcus Smart,Point guard,United States,Boston Celtics (2)
