,Year,Player,Position,Nationality,Team
0,1969,Jerry West,Guard,United States,Los Angeles Lakers §
1,1970,Willis Reed,Center/Forward,United States,New York Knicks
2,1971,Kareem Abdul-Jabbar,Center,United States,Milwaukee Bucks
3,1972,Wilt Chamberlain,Center,United States,Los Angeles Lakers (2)
4,1973,Willis Reed,Center/Forward,United States,New York Knicks (2)
5,1974,John Havlicek,Forward/Guard,United States,Boston Celtics
6,1975,Rick Barry,Forward,United States,Golden State Warriors
7,1976,Jo Jo White,Guard,United States,Boston Celtics (2)
8,1977,Bill Walton,Center,United States,Portland Trail Blazers
9,1978,Wes Unseld,Center/Forward,United States,Washington Bullets
10,1979,Dennis Johnson,Guard,United States,Seattle SuperSonics
11,1980,Magic Johnson,Guard,United States,Los Angeles Lakers (3)
12,1981,Cedric Maxwell,Forward,United States,Boston Celtics (3)
13,1982,Magic Johnson,Guard,United States,Los Angeles Lakers (4)
14,1983,Moses Malone,Center,United States,Philadelphia 76ers
15,1984,Larry Bird,Forward,United States,Boston Celtics (4)
16,1985,Kareem Abdul-Jabbar,Center,United States,Los Angeles Lakers (5)
17,1986,Larry Bird,Forward,United States,Boston Celtics (5)
18,1987,Magic Johnson,Guard,United States,Los Angeles Lakers (6)
19,1988,James Worthy,Forward,United States,Los Angeles Lakers (7)
20,1989,Joe Dumars,Guard,United States,Detroit Pistons
21,1990,Isiah Thomas,Guard,United States,Detroit Pistons (2)
22,1991,Michael Jordan,Guard,United States,Chicago Bulls
23,1992,Michael Jordan,Guard,United States,Chicago Bulls (2)
24,1993,Michael Jordan,Guard,United States,Chicago Bulls (3)
25,1994,Hakeem Olajuwon,Center,Nigeria,Houston Rockets
26,1995,Hakeem Olajuwon,Center,Nigeria,Houston Rockets (2)
27,1996,Michael Jordan,Guard,United States,Chicago Bulls (4)
28,1997,Michael Jordan,Guard,United States,Chicago Bulls (5)
29,1998,Michael Jordan,Guard,United States,Chicago Bulls (6)
30,1999,Tim Duncan,Forward/Center,United States,San Antonio Spurs
31,2000,Shaquille O'Neal,Center,United States,Los Angeles Lakers (8)
32,2001,Shaquille O'Neal,Center,United States,Los Angeles Lakers (9)
33,2002,Shaquille O'Neal,Center,United States,Los Angeles Lakers (10)
34,2003,Tim Duncan,Forward/Center,United States,San Antonio Spurs (2)
35,2004,Chauncey Billups,Guard,United States,Detroit Pistons (3)
36,2005,Tim Duncan,Forward/Center,United States,San Antonio Spurs (3)
37,2006,Dwyane Wade,Guard,United States,Miami Heat
38,2007,Tony Parker,Guard,France,San Antonio Spurs (4)
39,2008,Paul Pierce,Forward,United States,Boston Celtics (6)
40,2009,Kobe Bryant,Guard,United States,Los Angeles Lakers (11)
41,2010,Kobe Bryant,Guard,United States,Los Angeles Lakers (12)
42,2011,Dirk Nowitzki,Forward,Germany,Dallas Mavericks
43,2012,LeBron James,Forward,United States,Miami Heat (2)
44,2013,LeBron James,Forward,United States,Miami Heat (3)
45,2014,Kawhi Leonard,Forward,United States,San Antonio Spurs (5)
46,2015,Andre Iguodala,Forward/Guard,United States,Golden State Warriors (2)
47,2016,LeBron James,Forward,United States,Cleveland Cavaliers
48,2017,Kevin Durant,Forward,United States,Golden State Warriors (3)
49,2018,Kevin Durant,Forward,United States,Golden State Warriors (4)
50,2019,Kawhi Leonard,Forward,United States,Toronto Raptors
51,2020,LeBron James,Forward,United States,Los Angeles Lakers (13)
52,2021,Giannis Antetokounmpo,Forward,Greece,Milwaukee Bucks (2)
53,2022,Stephen Curry,Guard,United States,Golden State Warriors (5)
