,Player
0,Kareem Abdul-Jabbar
1,Ray Allen
2,Tiny Archibald
3,Paul Arizin
4,Al Attles
5,Charles Barkley
6,Don Barksdale
7,Rick Barry
8,Elgin Baylor
9,Zelmo Beaty
10,Walt Bellamy
11,Dave Bing
12,Larry Bird
13,Chris Bosh
14,Bill Bradley
15,Carl Braun
16,Kobe Bryant
17,Al Cervi
18,Wilt Chamberlain
19,Maurice Cheeks
20,Nat Clifton
21,Chuck Cooper
22,Larry Costello
23,Bob Cousy
24,Dave Cowens
25,Billy Cunningham
26,Louie Dampier
27,Bob Dandridge
28,Mel Daniels
29,Adrian Dantley
30,Bob Davies
31,Dave DeBusschere
32,Vlade Divac
33,Clyde Drexler
34,Joe Dumars
35,Tim Duncan
36,Alex English
37,Julius Erving
38,Patrick Ewing
39,Walt Frazier
40,Joe Fulks
41,Harry Gallatin
42,Kevin Garnett
43,George Gervin
44,Artis Gilmore
45,Manu Ginobili
46,Tom Gola
47,Gail Goodrich
48,Hal Greer
49,Richie Guerin
50,Cliff Hagan
51,Tim Hardaway
52,John Havlicek
53,Connie Hawkins
54,Elvin Hayes
55,Spencer Haywood
56,Tom Heinsohn
57,Grant Hill
58,Bob Houbregs
59,Bailey Howell
60,Lou Hudson
61,Dan Issel
62,Allen Iverson
63,Buddy Jeannette
64,Dennis Johnson
65,Gus Johnson
66,Magic Johnson
67,Neil Johnston
68,Bobby Jones
69,KC Jones
70,Sam Jones
71,Michael Jordan
72,Jason Kidd
73,Bernard King
74,Toni Kukoc
75,Bob Lanier
76,Clyde Lovellette
77,Jerry Lucas
78,Ed Macauley
79,Karl Malone
80,Moses Malone
81,Pete Maravich
82,Sarunas Marciulionis
83,Slater Martin
84,Bob McAdoo
85,George McGinnis
86,Tracy McGrady
87,Dick McGuire
88,Kevin McHale
89,George Mikan
90,Vern Mikkelsen
91,Reggie Miller
92,Yao Ming
93,Sidney Moncrief
94,Earl Monroe
95,Alonzo Mourning
96,Chris Mullin
97,Calvin Murphy
98,Dikembe Mutombo
99,Steve Nash
100,Hakeem Olajuwon
101,Shaquille O'Neal
102,Robert Parish
103,Gary Payton
104,Drazen Petrovic
105,Bob Pettit
106,Andy Phillip
107,Paul Pierce
108,Scottie Pippen
109,Jim Pollard
110,Dino Radja
111,Frank Ramsey
112,Willis Reed
113,Mitch Richmond
114,Arnie Risen
115,Oscar Robertson
116,David Robinson
117,Guy Rodgers
118,Dennis Rodman
119,Bill Russell
120,Arvydas Sabonis
121,Ralph Sampson
122,Dolph Schayes
123,Bill Sharman
124,Jack Sikma
125,John Stockton
126,Maurice Stokes
127,Isiah Thomas
128,David Thompson
129,Nate Thurmond
130,Jack Twyman
131,Wes Unseld
132,Chet Walker
133,Ben Wallace
134,Bill Walton
135,Bobby Wanzer
136,Chris Webber
137,Jerry West
138,Paul Westphal
139,Jo Jo White
140,Lenny Wilkens
141,Jamaal Wilkes
142,Dominique Wilkins
143,James Worthy
144,George Yardley
