,Player
0,Domantas Sabonis
1,Rudy Gobert
2,Clint Capela
3,Andre Drummond
4,Andre Drummond
5,Andre Drummond
6,Hassan Whiteside
7,Andre Drummond
8,DeAndre Jordan
9,DeAndre Jordan
10,Dwight Howard
11,Dwight Howard
12,Kevin Love
13,Dwight Howard
14,Dwight Howard
15,Dwight Howard
16,Kevin Garnett
17,Kevin Garnett
18,Kevin Garnett
19,Kevin Garnett
20,Ben Wallace
21,Ben Wallace
22,Dikembe Mutombo
23,Dikembe Mutombo
24,Chris Webber
25,Dennis Rodman
26,Dennis Rodman
27,Dennis Rodman
28,Dennis Rodman
29,Dennis Rodman
30,Dennis Rodman
31,Dennis Rodman
32,David Robinson
33,Hakeem Olajuwon
34,Hakeem Olajuwon
35,Michael Cage
36,Charles Barkley
37,Bill Laimbeer
38,Moses Malone
39,Moses Malone
40,Moses Malone
41,Moses Malone
42,Moses Malone
43,Swen Nater
44,Moses Malone
45,Truck Robinson
46,Bill Walton
47,Kareem Abdul-Jabbar
48,Artis Gilmore
49,Wes Unseld
50,Swen Nater
51,Elvin Hayes
52,Artis Gilmore
53,Wilt Chamberlain
54,Artis Gilmore
55,Wilt Chamberlain
56,Artis Gilmore
57,Wilt Chamberlain
58,Mel Daniels
59,Elvin Hayes
60,Spencer Haywood
61,Wilt Chamberlain
62,Mel Daniels
63,Wilt Chamberlain
64,Mel Daniels
65,Wilt Chamberlain
66,Wilt Chamberlain
67,Bill Russell
68,Bill Russell
69,Wilt Chamberlain
70,Wilt Chamberlain
71,Wilt Chamberlain
72,Wilt Chamberlain
73,Bill Russell
74,Bill Russell
75,Bill Russell
76,Maurice Stokes
77,Neil Johnston
78,Harry Gallatin
79,George Mikan
80,George Mikan
81,Dolph Schayes
