,Player
0,Nikola Jokic
1,Nikola Jokic
2,Nikola Jokic
3,James Harden
4,James Harden
5,James Harden
6,James Harden
7,Stephen Curry
8,James Harden
9,Kevin Durant
10,LeBron James
11,LeBron James
12,LeBron James
13,LeBron James
14,LeBron James
15,Chris Paul
16,Dirk Nowitzki
17,Dirk Nowitzki
18,Kevin Garnett
19,Kevin Garnett
20,Tim Duncan
21,Tim Duncan
22,Shaquille O'Neal
23,Shaquille O'Neal
24,Karl Malone
25,Karl Malone
26,Michael Jordan
27,Michael Jordan
28,David Robinson
29,David Robinson
30,Michael Jordan
31,Michael Jordan
32,Michael Jordan
33,Michael Jordan
34,Michael Jordan
35,Michael Jordan
36,Michael Jordan
37,Larry Bird
38,Larry Bird
39,Adrian Dantley
40,Moses Malone
41,Moses Malone
42,Kareem Abdul-Jabbar
43,Kareem Abdul-Jabbar
44,Kareem Abdul-Jabbar
45,David Thompson
46,Kareem Abdul-Jabbar
47,Kareem Abdul-Jabbar
48,Julius Erving
49,Bob McAdoo
50,Julius Erving
51,Kareem Abdul-Jabbar
52,Julius Erving
53,Kareem Abdul-Jabbar
54,Artis Gilmore
55,Kareem Abdul-Jabbar
56,Artis Gilmore
57,Kareem Abdul-Jabbar
58,Zelmo Beaty
59,Jerry West
60,Spencer Haywood
61,Willis Reed
62,Jimmy Jones
63,Wilt Chamberlain
64,Connie Hawkins
65,Wilt Chamberlain
66,Wilt Chamberlain
67,Oscar Robertson
68,Wilt Chamberlain
69,Wilt Chamberlain
70,Wilt Chamberlain
71,Wilt Chamberlain
72,Wilt Chamberlain
73,Bob Pettit
74,Dolph Schayes
75,Neil Johnston
76,Neil Johnston
77,Neil Johnston
78,Neil Johnston
79,Neil Johnston
80,Paul Arizin
81,George Mikan
82,George Mikan
83,George Mikan
84,Bob Feerick
85,Bob Feerick
