Player,start,end,ppg,apg,rpg,spg,bpg,dpoy,mvp,fmvp,allstar,allnba,alldef,ppg_leader,rpg_leader,apg_leader,ws_leader,hof
Alaa Abdelnaby,1991.0,1995.0,5.72,0.33,3.3,0.28,0.27,0,0,0,0,0,0,0,0,0,0,0
Zaid AbdulAziz,1969.0,1978.0,9.02,1.19,8.05,0.63,0.98,0,0,0,0,0,0,0,0,0,0,0
Kareem Abdul-Jabbar,1970.0,1989.0,24.61,3.63,11.18,0.94,2.57,0,6,2,19,15,0,2,1,9,9,1
Mahmoud AbdulRauf,1991.0,2001.0,14.6,3.55,1.85,0.83,0.08,0,0,0,0,0,0,0,0,0,0,0
Tariq AbdulWahad,1998.0,2003.0,7.75,1.13,3.29,0.78,0.35,0,0,0,0,0,0,0,0,0,0,0
Shareef AbdurRahim,1997.0,2008.0,18.11,2.54,7.52,0.99,0.77,0,0,0,1,0,0,0,0,0,0,0
Tom Abernethy,1977.0,1981.0,5.58,1.2,3.17,0.58,0.19,0,0,0,0,0,0,0,0,0,0,0
Forest Able,1957.0,1957.0,0.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
John Abramovic,1947.0,1948.0,9.52,0.66,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
Alex Abrines,2017.0,2019.0,5.31,0.51,1.43,0.53,0.13,0,0,0,0,0,0,0,0,0,0,0
Precious Achiuwa,2021.0,2023.0,7.71,0.86,5.31,0.46,0.53,0,0,0,0,0,0,0,0,0,0,0
Alex Acker,2006.0,2009.0,2.7,0.53,0.97,0.2,0.13,0,0,0,0,0,0,0,0,0,0,0
Don Ackerman,1954.0,1954.0,1.54,0.82,0.54,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
Mark Acres,1988.0,1993.0,3.58,0.48,4.07,0.37,0.28,0,0,0,0,0,0,0,0,0,0,0
Bud Acton,1968.0,1968.0,3.35,0.48,2.04,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
Quincy Acy,2013.0,2019.0,4.87,0.64,3.5,0.42,0.4,0,0,0,0,0,0,0,0,0,0,0
Alvan Adams,1976.0,1988.0,14.08,4.06,7.02,1.3,0.82,0,0,0,1,0,0,0,0,0,0,0
Don Adams,1971.0,1977.0,8.79,1.93,5.58,1.14,0.22,0,0,0,0,0,0,0,0,0,0,0
George Adams,1973.0,1975.0,7.68,1.47,4.06,0.57,0.38,0,0,0,0,0,0,0,0,0,0,0
Hassan Adams,2007.0,2009.0,2.53,0.19,1.15,0.25,0.07,0,0,0,0,0,0,0,0,0,0,0
Jaylen Adams,2019.0,2021.0,2.68,1.63,1.54,0.34,0.12,0,0,0,0,0,0,0,0,0,0,0
Jordan Adams,2015.0,2016.0,3.16,0.59,0.94,0.59,0.22,0,0,0,0,0,0,0,0,0,0,0
Michael Adams,1986.0,1996.0,14.73,6.45,2.91,1.66,0.1,0,0,0,1,0,0,0,0,0,0,0
Steven Adams,2014.0,2023.0,9.23,1.53,8.2,0.88,0.96,0,0,0,0,0,0,0,0,0,0,0
Rafael Addison,1987.0,1997.0,5.77,0.89,2.06,0.39,0.22,0,0,0,0,0,0,0,0,0,0,0
Bam Adebayo,2018.0,2023.0,14.7,3.43,8.48,1.03,0.89,0,0,0,2,0,0,0,0,0,0,0
Deng Adel,2019.0,2019.0,1.68,0.26,1.0,0.05,0.21,0,0,0,0,0,0,0,0,0,0,0
Rick Adelman,1969.0,1975.0,7.75,3.48,2.44,0.94,0.08,0,0,0,0,0,0,0,0,0,0,0
Jeff Adrien,2011.0,2015.0,4.63,0.65,4.31,0.33,0.52,0,0,0,0,0,0,0,0,0,0,0
Arron Afflalo,2008.0,2018.0,10.76,1.82,2.86,0.45,0.19,0,0,0,0,0,0,0,0,0,0,0
Ochai Agbaji,2023.0,2023.0,6.09,0.72,1.81,0.26,0.15,0,0,0,0,0,0,0,0,0,0,0
Maurice Ager,2007.0,2011.0,2.06,0.23,0.56,0.07,0.07,0,0,0,0,0,0,0,0,0,0,0
Mark Aguirre,1982.0,1994.0,20.0,3.11,4.96,0.74,0.32,0,0,0,3,0,0,0,0,0,0,0
Blake Ahearn,2008.0,2012.0,4.63,1.16,1.16,0.37,0.0,0,0,0,0,0,0,0,0,0,0,0
Danny Ainge,1982.0,1995.0,11.48,4.03,2.66,1.09,0.13,0,0,0,1,0,0,0,0,0,0,0
Matt Aitch,1968.0,1968.0,5.6,0.4,3.56,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
Alexis Ajinca,2009.0,2017.0,5.3,0.49,3.92,0.35,0.62,0,0,0,0,0,0,0,0,0,0,0
Henry Akin,1967.0,1969.0,3.5,0.45,2.06,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
Josh Akognon,2013.0,2013.0,1.67,0.33,0.33,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
DeVaughn AkoonPurcell,2019.0,2019.0,1.0,0.86,0.57,0.29,0.0,0,0,0,0,0,0,0,0,0,0,0
Solomon Alabi,2011.0,2012.0,1.5,0.19,2.35,0.15,0.42,0,0,0,0,0,0,0,0,0,0,0
Mark Alarie,1987.0,1991.0,7.48,1.12,3.45,0.41,0.34,0,0,0,0,0,0,0,0,0,0,0
Gary Alcorn,1960.0,1961.0,3.35,0.31,4.22,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
Santi Aldama,2022.0,2023.0,7.48,1.05,4.01,0.45,0.56,0,0,0,0,0,0,0,0,0,0,0
