,Player
0,Dave DeBusschere*
1,Nate Thurmond*
2,Bill Russell*
3,Walt Frazier*
4,Jerry Sloan
5,Dave DeBusschere* (2)
6,Gus Johnson*
7,Willis Reed*
8,Walt Frazier* (2)
9,Jerry West* (2)
10,Dave DeBusschere* (3)
11,Gus Johnson* (2)
12,Nate Thurmond* (2)
13,Walt Frazier* (3)
14,Jerry West* (3)
15,Dave DeBusschere* (4)
16,John Havlicek* (4)
17,Wilt Chamberlain*
18,Jerry West* (4)
19,Walt Frazier* (4) (tie)
20,Jerry Sloan (4) (tie)
21,Dave DeBusschere* (5)
22,John Havlicek* (5)
23,Wilt Chamberlain* (2)
24,Jerry West* (5)
25,Walt Frazier* (5)
26,Dave DeBusschere* (6)
27,John Havlicek* (6)
28,Kareem Abdul-Jabbar* (3)
29,Norm Van Lier (4)
30,Walt Frazier* (6) (tie)
31,Jerry Sloan  (5) (tie)
32,John Havlicek* (7)
33,Paul Silas (4)
34,Kareem Abdul-Jabbar* (4)
35,Jerry Sloan  (6)
36,Walt Frazier* (7)
37,Paul Silas (5)
38,John Havlicek* (8)
39,Dave Cowens* (2)
40,Norm Van Lier (6)
41,Don Watts
42,Bobby Jones*
43,E. C. Coleman
44,Bill Walton*
45,Don Buse
46,Norm Van Lier (7)
47,Bobby Jones* (2)
48,Maurice Lucas
49,Bill Walton* (2)
50,Bill Walton* (2)
51,Lionel Hollins
52,Don Buse (2)
53,Bobby Jones* (3)
54,Bob Dandridge
55,Kareem Abdul-Jabbar* (8)
56,Dennis Johnson*
57,Don Buse (3)
58,Bobby Jones* (4)
59,Dan Roundfield
60,Kareem Abdul-Jabbar* (9)
61,Dennis Johnson* (2)
62,Don Buse (4) (tie)
63,Micheal Ray Richardson (tie)
64,Bobby Jones* (5)
65,Caldwell Jones
66,Kareem Abdul-Jabbar* (10)
67,Dennis Johnson* (3)
68,Micheal Ray Richardson (2)
69,Micheal Ray Richardson (2)
70,Bobby Jones* (6)
71,Dan Roundfield (3)
72,Caldwell Jones (2)
73,Michael Cooper (2)
74,Dennis Johnson* (4)
75,Bobby Jones* (7)
76,Dan Roundfield (4)
77,Moses Malone* (2)
78,Sidney Moncrief* (2)
79,Dennis Johnson* (5) (tie)
80,Maurice Cheeks* (tie)
81,Bobby Jones* (8)
82,Michael Cooper (4)
83,Wayne Rollins (2)
84,Maurice Cheeks* (2)
85,Sidney Moncrief* (3)
86,Sidney Moncrief* (4)
87,Paul Pressey
88,Mark Eaton
89,Michael Cooper (5)
90,Maurice Cheeks* (3)
91,Paul Pressey (2)
92,Kevin McHale* (2)
93,Mark Eaton (2)
94,Sidney Moncrief* (5)
95,Maurice Cheeks* (4)
96,Kevin McHale* (3)
97,Michael Cooper (7)
98,Akeem Olajuwon* (2)
99,Alvin Robertson (2)
100,Dennis Johnson* (9)
101,Kevin McHale* (4)
102,Rodney McCray (2)
103,Akeem Olajuwon* (3)
104,Akeem Olajuwon* (3)
105,Michael Cooper (8)
106,Michael Jordan*
107,Dennis Rodman*
108,Larry Nance
109,Mark Eaton (5)
110,Michael Jordan* (2)
111,Joe Dumars*
112,Dennis Rodman* (2)
113,Buck Williams (2)
114,Akeem Olajuwon* (4)
115,Michael Jordan* (3)
116,Joe Dumars* (2)
117,Michael Jordan* (4)
118,Alvin Robertson (6)
119,David Robinson* (2)
120,Dennis Rodman* (3)
121,Buck Williams (3)
122,Dennis Rodman* (4)
123,Scottie Pippen* (2)
124,David Robinson* (3)
125,Michael Jordan* (5)
126,Joe Dumars* (4)
127,Scottie Pippen* (3)
128,Dennis Rodman* (5)
129,Hakeem Olajuwon* (6)
130,Michael Jordan* (6)
131,Joe Dumars* (5)
132,Scottie Pippen* (4)
133,Charles Oakley
134,Hakeem Olajuwon* (7)
135,Gary Payton*
136,Mookie Blaylock
137,Scottie Pippen* (5)
138,Dennis Rodman* (7)
139,David Robinson* (6)
140,Gary Payton* (2)
141,Mookie Blaylock (2)
142,Scottie Pippen* (6)
143,Dennis Rodman* (8)
144,David Robinson* (7)
145,Gary Payton* (3)
146,Michael Jordan* (7)
147,Scottie Pippen* (7)
148,Karl Malone* (2)
149,Dikembe Mutombo* (2)
150,Michael Jordan* (8)
151,Gary Payton* (4)
152,Scottie Pippen* (8)
153,Karl Malone* (3)
154,Dikembe Mutombo* (3)
