Player,,,,
LeBron James,18,13,3,2
Kobe Bryant,15,11,2,2
Kareem Abdul-Jabbar,15,10,5,-
Tim Duncan,15,10,3,2
Karl Malone,14,11,2,1
Shaquille O'Neal,14,8,2,4
Bob Cousy,12,10,2,-
Jerry West,12,10,2,-
Dolph Schayes,12,6,6,-
Hakeem Olajuwon,12,6,3,3
Dirk Nowitzki,12,4,5,3
Michael Jordan,11,10,1,-
Bob Pettit,11,10,1,-
Oscar Robertson,11,9,2,-
Charles Barkley,11,5,5,1
John Havlicek,11,4,7,-
Chris Paul,11,4,5,2
Bill Russell,11,3,8,-
John Stockton,11,2,6,3
Elgin Baylor,10,10,-,-
Larry Bird,10,9,1,-
Magic Johnson,10,9,1,-
Wilt Chamberlain,10,7,3,-
Kevin Durant,10,6,4,-
David Robinson,10,4,2,4
Kevin Garnett,9,4,3,2
Gary Payton,9,2,5,2
Russell Westbrook,9,2,5,2
Dwight Howard,8,5,1,2
Moses Malone,8,4,4,-
Stephen Curry,8,4,3,1
Dwyane Wade,8,2,3,3
James Harden,7,6,-,1
Julius Erving,7,5,2,-
George Gervin,7,5,2,-
Bill Sharman,7,4,3,-
Allen Iverson,7,3,3,1
Steve Nash,7,3,2,2
Scottie Pippen,7,3,2,2
Tracy McGrady,7,2,3,2
Patrick Ewing,7,1,6,-
Dominique Wilkins,7,1,4,2
Hal Greer,7,-,7,-
George Mikan,6,6,-,-
Rick Barry,6,5,1,-
Jason Kidd,6,5,1,-
Giannis Antetokounmpo,6,4,2,-
Walt Frazier,6,4,2,-
Elvin Hayes,6,3,3,-
Damian Lillard,6,1,4,1
Paul George,6,1,-,5
Carmelo Anthony,6,-,2,4
Bob Davies,5,4,1,-
Neil Johnston,5,4,1,-
Tiny Archibald,5,3,2,-
Kawhi Leonard,5,3,2,-
Jerry Lucas,5,3,2,-
Isiah Thomas,5,3,2,-
Grant Hill,5,1,4,-
Sidney Moncrief,5,1,4,-
Willis Reed,5,1,4,-
Amar'e Stoudemire,5,1,4,-
Tim Hardaway,5,1,3,1
Chris Webber,5,1,3,1
Clyde Drexler,5,1,2,2
Slater Martin,5,-,5,-
Kevin Johnson,5,-,4,1
Blake Griffin,5,-,3,2
Mitch Richmond,5,-,3,2
Ben Wallace,5,-,3,2
LaMarcus Aldridge,5,-,2,3
Yao Ming,5,-,2,3
Anthony Davis,4,4,-,-
Max Zaslofsky,4,4,-,-
Paul Arizin,4,3,1,-
Billy Cunningham,4,3,1,-
Joe Fulks,4,3,1,-
Nikola Jokic,4,3,1,-
Ed Macauley,4,3,1,-
Paul Westphal,4,3,1,-
Spencer Haywood,4,2,2,-
Pete Maravich,4,2,2,-
Jim Pollard,4,2,2,-
Bernard King,4,2,1,1
