Season,Player,Position,Nationality,Team
1982–83,Sidney Moncrief*,Shooting guard,United States,Milwaukee Bucks
1983–84,Sidney Moncrief* (2),Shooting guard,United States,Milwaukee Bucks (2)
1984–85,Mark Eaton,Center,United States,Utah Jazz
1985–86,Alvin Robertson,Shooting guard,United States,San Antonio Spurs
1986–87,Michael Cooper,Shooting guard,United States,Los Angeles Lakers
1987–88,Michael Jordan*,Shooting guard,United States,Chicago Bulls
1988–89,Mark Eaton (2),Center,United States,Utah Jazz (2)
1989–90,Dennis Rodman*,Small forward,United States,Detroit Pistons
1990–91,Dennis Rodman* (2),Small forward,United States,Detroit Pistons (2)
1991–92,David Robinson*,Center,United States,San Antonio Spurs (2)
1992–93,Hakeem Olajuwon*,Center,Nigeria,Houston Rockets
1993–94,Hakeem Olajuwon* (2),Center,Nigeria,Houston Rockets (2)
1994–95,Dikembe Mutombo*,Center,Zaire,Denver Nuggets
1995–96,Gary Payton*,Point guard,United States,Seattle SuperSonics
1996–97,Dikembe Mutombo* (2),Center,Zaire,Atlanta Hawks
1997–98,Dikembe Mutombo* (3),Center,Democratic Republic of the Congo,Atlanta Hawks (2)
1998–99,Alonzo Mourning*,Center,United States,Miami Heat
1999–00,Alonzo Mourning* (2),Center,United States,Miami Heat (2)
2000–01,Dikembe Mutombo* (4),Center,Democratic Republic of the Congo,Philadelphia 76ers
2001–02,Ben Wallace*,Center,United States,Detroit Pistons (3)
2002–03,Ben Wallace* (2),Center,United States,Detroit Pistons (4)
2003–04,Ron Artest,Small forward,United States,Indiana Pacers
2004–05,Ben Wallace* (3),Center,United States,Detroit Pistons (5)
2005–06,Ben Wallace* (4),Center,United States,Detroit Pistons (6)
2006–07,Marcus Camby,Center,United States,Denver Nuggets (2)
2007–08,Kevin Garnett*,Power forward,United States,Boston Celtics
2008–09,Dwight Howard^,Center,United States,Orlando Magic
2009–10,Dwight Howard^ (2),Center,United States,Orlando Magic (2)
2010–11,Dwight Howard^ (3),Center,United States,Orlando Magic (3)
2011–12,Tyson Chandler,Center,United States,New York Knicks
2012–13,Marc Gasol,Center,Spain,Memphis Grizzlies
2013–14,Joakim Noah,Center,France,Chicago Bulls (2)
2014–15,Kawhi Leonard^,Small forward,United States,San Antonio Spurs (3)
2015–16,Kawhi Leonard^ (2),Small forward,United States,San Antonio Spurs (4)
2016–17,Draymond Green^,Power forward,United States,Golden State Warriors
2017–18,Rudy Gobert^,Center,France,Utah Jazz (3)
2018–19,Rudy Gobert^ (2),Center,France,Utah Jazz (4)
2019–20,Giannis Antetokounmpo^,Power forward,Greece,Milwaukee Bucks (3)
2020–21,Rudy Gobert^ (3),Center,France,Utah Jazz (5)
2021–22,Marcus Smart^,Point guard,United States,Boston Celtics (2)
