Year,Player,Position,Nationality,Team
1969,Jerry West*,Guard,United States,Los Angeles Lakers §
1970,Willis Reed*,Center/Forward,United States,New York Knicks
1971,Lew Alcindor*,Center,United States,Milwaukee Bucks
1972,Wilt Chamberlain*,Center,United States,Los Angeles Lakers (2)
1973,Willis Reed* (2),Center/Forward,United States,New York Knicks (2)
1974,John Havlicek*,Forward/Guard,United States,Boston Celtics
1975,Rick Barry*,Forward,United States,Golden State Warriors
1976,Jo Jo White*,Guard,United States,Boston Celtics (2)
1977,Bill Walton*,Center,United States,Portland Trail Blazers
1978,Wes Unseld*,Center/Forward,United States,Washington Bullets
1979,Dennis Johnson*,Guard,United States,Seattle SuperSonics
1980,Magic Johnson*,Guard,United States,Los Angeles Lakers (3)
1981,Cedric Maxwell,Forward,United States,Boston Celtics (3)
1982,Magic Johnson* (2),Guard,United States,Los Angeles Lakers (4)
1983,Moses Malone*,Center,United States,Philadelphia 76ers
1984,Larry Bird*,Forward,United States,Boston Celtics (4)
1985,Kareem Abdul-Jabbar* (2),Center,United States,Los Angeles Lakers (5)
1986,Larry Bird* (2),Forward,United States,Boston Celtics (5)
1987,Magic Johnson* (3),Guard,United States,Los Angeles Lakers (6)
1988,James Worthy*,Forward,United States,Los Angeles Lakers (7)
1989,Joe Dumars*,Guard,United States,Detroit Pistons
1990,Isiah Thomas*,Guard,United States,Detroit Pistons (2)
1991,Michael Jordan*,Guard,United States,Chicago Bulls
1992,Michael Jordan* (2),Guard,United States,Chicago Bulls (2)
1993,Michael Jordan* (3),Guard,United States,Chicago Bulls (3)
1994,Hakeem Olajuwon*,Center,Nigeria,Houston Rockets
1995,Hakeem Olajuwon* (2),Center,Nigeria,Houston Rockets (2)
1996,Michael Jordan* (4),Guard,United States,Chicago Bulls (4)
1997,Michael Jordan* (5),Guard,United States,Chicago Bulls (5)
1998,Michael Jordan* (6),Guard,United States,Chicago Bulls (6)
1999,Tim Duncan*,Forward/Center,United States,San Antonio Spurs
2000,Shaquille O'Neal*,Center,United States,Los Angeles Lakers (8)
2001,Shaquille O'Neal* (2),Center,United States,Los Angeles Lakers (9)
2002,Shaquille O'Neal* (3),Center,United States,Los Angeles Lakers (10)
2003,Tim Duncan* (2),Forward/Center,United States,San Antonio Spurs (2)
2004,Chauncey Billups,Guard,United States,Detroit Pistons (3)
2005,Tim Duncan* (3),Forward/Center,United States,San Antonio Spurs (3)
2006,Dwyane Wade,Guard,United States,Miami Heat
2007,Tony Parker,Guard,France,San Antonio Spurs (4)
2008,Paul Pierce*,Forward,United States,Boston Celtics (6)
2009,Kobe Bryant*,Guard,United States,Los Angeles Lakers (11)
2010,Kobe Bryant* (2),Guard,United States,Los Angeles Lakers (12)
2011,Dirk Nowitzki,Forward,Germany,Dallas Mavericks
2012,LeBron James^,Forward,United States,Miami Heat (2)
2013,LeBron James^ (2),Forward,United States,Miami Heat (3)
2014,Kawhi Leonard^,Forward,United States,San Antonio Spurs (5)
2015,Andre Iguodala^,Forward/Guard,United States,Golden State Warriors (2)
2016,LeBron James^ (3),Forward,United States,Cleveland Cavaliers
2017,Kevin Durant^,Forward,United States,Golden State Warriors (3)
2018,Kevin Durant^ (2),Forward,United States,Golden State Warriors (4)
2019,Kawhi Leonard^ (2),Forward,United States,Toronto Raptors
2020,LeBron James^ (4),Forward,United States,Los Angeles Lakers (13)
2021,Giannis Antetokounmpo^,Forward,Greece,Milwaukee Bucks (2)
2022,Stephen Curry^,Guard,United States,Golden State Warriors (5)
